cc_num,first,gender,street,city,state,zip,lat,long,city_pop,job,dob
4218196001337,172,1,866,131,34,12043,42.684,-74.4939,8509,4,1968-10-03
4351161559407816183,107,0,319,34,34,13027,43.162,-76.3237,31637,357,1948-06-07
4192832764832,237,0,61,355,18,70605,30.1693,-93.2218,124276,260,1989-05-30
4238849696532874,27,0,276,478,6,6513,41.3072,-72.8654,128884,420,1950-12-26
4514627048281480,215,0,810,43,43,76021,32.8536,-97.1358,46885,292,1972-05-22
3517182278248964,344,1,471,169,18,70706,30.6085,-90.9038,71335,102,1984-06-18
213193010310510,190,0,831,573,45,23146,37.7337,-77.7,3093,341,1969-03-06
4065133387262473,90,1,118,206,31,8318,39.5691,-75.163,12702,380,1944-12-27
630447468723,69,0,808,498,43,79766,31.7827,-102.3449,137390,398,1927-08-23
2222913619399092,24,0,365,711,2,72774,35.9082,-94.2304,6121,7,1971-01-26
4251354278496,351,1,840,599,4,95122,37.3293,-121.8339,973849,440,1998-02-26
4874016400529,231,1,696,146,43,78416,27.7536,-97.4347,306433,464,1998-08-02
345331586923222,303,0,355,280,34,14075,42.7334,-78.8389,41937,282,2000-08-16
6541458685014295,333,0,657,33,4,93308,35.4244,-119.0433,520197,98,1977-09-29
3508835615951480,111,1,489,136,5,80918,38.9129,-104.7734,525713,324,1945-08-14
6577738721489511,285,0,329,179,10,30096,33.9845,-84.1529,103980,162,1975-01-06
4163287083172781,343,0,872,179,10,30096,33.9845,-84.1529,103980,228,1994-01-23
4143455812236231660,125,1,682,108,14,60645,42.0086,-87.6947,2680484,244,1948-09-26
3573467065627293,176,1,631,591,20,21804,38.3508,-75.5338,68541,358,1959-04-04
4708053100330923275,240,1,465,563,38,15851,41.0629,-78.8961,6671,257,1962-11-24
6011193149190586,154,1,688,545,37,97230,45.5472,-122.5001,841711,429,1990-11-15
4314737996507527356,268,0,92,438,3,85203,33.437,-111.8057,478404,387,1930-10-26
6011495788568554,241,0,148,353,15,47905,40.4001,-86.8602,98078,475,1975-08-02
4082400842710944,169,1,479,418,19,2048,42.0212,-71.2178,23184,45,1978-08-09
